CodeSite,DateDebut,DateFin,TempSession,TypeAppareil,Download,Upload,Langue,GeoPoint
PW0143,2019-09-10T20:31:00+02:00,2019-09-10T21:01:00+02:00,1823,Mobile,62729597,2785115,Français,48.8618194855,2.3476439033
PW0170-1,2019-09-10T20:32:00+02:00,2019-09-10T21:21:00+02:00,2911,Mobile,32526924,3055013,Anglais,48.8858336546,2.3650478296
PW0175,2019-09-10T20:33:00+02:00,2019-09-10T20:34:00+02:00,47,Mobile,129481,90580,Portugais,48.8609372147,2.2893499444
PW0045,2019-09-10T20:35:00+02:00,2019-09-10T20:55:00+02:00,1218,Ordinateur,157368461,10350871,Chinois simplifié,48.8598387687,2.4032269985
PW0189,2019-09-10T20:39:00+02:00,2019-09-10T20:49:00+02:00,603,Mobile,8030374,1782865,Espagnol,48.8629641751,2.3045246819
PW0051,2019-09-10T20:44:00+02:00,2019-09-10T20:53:00+02:00,523,Mobile,6264050,620020,Français,48.8425411215,2.3974768897
PW0175,2019-09-10T20:52:00+02:00,2019-09-10T20:56:00+02:00,227,Mobile,10531783,1514068,Anglais,48.8609372147,2.2893499444
PW0020,2019-09-10T21:08:00+02:00,2019-09-10T21:18:00+02:00,569,Ordinateur,21271650,1064968,Espagnol,48.862650133,2.345916105
PW0050,2019-09-10T21:08:00+02:00,2019-09-10T21:23:00+02:00,888,Ordinateur,20505781,3285123,Français,48.853423534,2.3591792373
PW0110,2019-09-10T21:09:00+02:00,2019-09-10T21:54:00+02:00,2751,Mobile,80075700,4386598,Français,48.8614694222,2.346303724
PW0190,2019-09-10T21:13:00+02:00,2019-09-10T21:28:00+02:00,900,Mobile,49788577,3795964,Anglais,48.8611484589,2.325065434
PW0194,2019-09-10T21:19:00+02:00,2019-09-10T23:19:00+02:00,7203,Mobile,450641196,22556913,Français,48.8801112154,2.3672066687
PW0191,2019-09-10T21:19:00+02:00,2019-09-10T21:42:00+02:00,1364,Mobile,12153936,1199025,Français,48.8547105055,2.353240934
PW0165,2019-09-10T21:22:00+02:00,2019-09-10T21:43:00+02:00,1217,Mobile,7343341,1201278,Portugais,48.8569794103,2.2933390635
PW0165,2019-09-10T21:32:00+02:00,2019-09-10T21:35:00+02:00,186,Mobile,8096193,643587,Espagnol,48.8569794103,2.2933390635
PW0194,2019-09-10T21:40:00+02:00,2019-09-10T21:59:00+02:00,1171,Mobile,93718946,6341534,Français,48.8801112154,2.3672066687
PW0056,2019-09-10T21:43:00+02:00,2019-09-10T21:51:00+02:00,495,Mobile,2229302,941867,Anglais,48.8698926807,2.3751172843
PW0176,2019-09-10T21:51:00+02:00,2019-09-10T21:58:00+02:00,429,Mobile,18014955,974136,Anglais,48.8765956695,2.3317982752
PW0047,2019-09-10T21:51:00+02:00,2019-09-10T23:52:00+02:00,7256,Mobile,52547772,84928380,Anglais,48.8760292839,2.3047848256
PW0165-1,2019-09-10T21:52:00+02:00,2019-09-10T21:52:00+02:00,5,Mobile,298058,66965,Anglais,48.8546101225,2.3001906307
PW0165-1,2019-09-10T21:54:00+02:00,2019-09-10T22:10:00+02:00,1007,Mobile,22942477,5070371,Espagnol,48.8546101225,2.3001906307
PW0194,2019-09-10T21:58:00+02:00,2019-09-10T22:09:00+02:00,686,Mobile,29305228,1881570,Italien,48.8801112154,2.3672066687
PW0123-1,2019-09-10T22:02:00+02:00,2019-09-10T22:10:00+02:00,483,Mobile,5954616,7106370,Espagnol,48.8570518501,2.3523517242
PW0110,2019-09-10T22:02:00+02:00,2019-09-10T22:11:00+02:00,554,Mobile,1413028,441607,Français,48.8614694222,2.346303724
PW0103-2,2019-09-10T22:11:00+02:00,2019-09-10T22:19:00+02:00,518,Mobile,4812343,1511211,Anglais,48.8204906699,2.3673087496
PW0165-1,2019-09-10T22:13:00+02:00,2019-09-10T22:49:00+02:00,2187,Mobile,22591267,3064906,Russe,48.8546101225,2.3001906307
PW0070,2019-09-10T22:13:00+02:00,2019-09-11T00:03:00+02:00,6555,Ordinateur,322506754,39738059,Français,48.8562219571,2.3673918201
PW0165-1,2019-09-10T22:16:00+02:00,2019-09-10T22:41:00+02:00,1481,Mobile,20169927,24310819,Russe,48.8546101225,2.3001906307
PW0149,2019-09-10T22:22:00+02:00,2019-09-10T22:34:00+02:00,715,Mobile,24365028,3943909,Anglais,48.8593733254,2.3358223561
PW0189,2019-09-10T22:26:00+02:00,2019-09-10T22:39:00+02:00,752,Mobile,2986959,558171,Portugais,48.8629641751,2.3045246819
PW0194,2019-09-10T22:33:00+02:00,2019-09-10T23:22:00+02:00,2958,Mobile,75598956,5201169,Portugais,48.8801112154,2.3672066687
PW0189,2019-09-10T22:41:00+02:00,2019-09-10T22:43:00+02:00,77,Mobile,5715576,563578,Anglais,48.8629641751,2.3045246819
PW0193,2019-09-10T22:46:00+02:00,2019-09-10T22:51:00+02:00,346,Mobile,2409710,2500312,Russe,48.8574278537,2.3470199245
PW0193,2019-09-10T22:56:00+02:00,2019-09-10T23:12:00+02:00,964,Mobile,18406645,19561980,Espagnol,48.8574278537,2.3470199245
PW0149,2019-09-10T23:07:00+02:00,2019-09-10T23:16:00+02:00,553,Mobile,17461354,2774497,Japonais,48.8593733254,2.3358223561
PW0191,2019-09-10T23:09:00+02:00,2019-09-10T23:15:00+02:00,360,Mobile,11497878,4491008,Anglais,48.8547105055,2.353240934
PW0175,2019-09-10T23:11:00+02:00,2019-09-10T23:22:00+02:00,683,Mobile,15565057,7654836,Anglais,48.8609372147,2.2893499444
PW0149,2019-09-10T23:40:00+02:00,2019-09-11T00:11:00+02:00,1882,Mobile,7900753,43499821,Anglais,48.8593733254,2.3358223561
PW0175,2019-09-11T00:10:00+02:00,2019-09-11T00:58:00+02:00,2884,Mobile,183073544,8821854,Français,48.8609372147,2.2893499444
PW0119,2019-09-11T00:32:00+02:00,2019-09-11T01:10:00+02:00,2333,Mobile,52992652,7775456,Français,48.8572732825,2.3512776121
PW0156,2019-09-11T01:14:00+02:00,2019-09-11T01:15:00+02:00,66,Mobile,4484367,391118,Anglais,48.8558319848,2.3508346613
PW0116,2019-09-11T01:15:00+02:00,2019-09-11T01:19:00+02:00,211,Mobile,26289982,6372611,Français,48.8772054342,2.3707969197
PW0196,2019-09-11T09:56:00+02:00,2019-09-11T10:02:00+02:00,330,Mobile,5277700,692115,Français,48.8652873059,2.317839769
PW0010,2019-09-11T10:07:00+02:00,2019-09-11T12:08:00+02:00,7256,Mobile,143501640,11368633,Français,48.8717845119,2.3573826449
PW0186,2019-09-11T10:35:00+02:00,2019-09-11T10:49:00+02:00,865,Mobile,29518554,3241091,Anglais,48.8769016573,2.3464050031
PW0050,2019-09-11T10:40:00+02:00,2019-09-11T11:02:00+02:00,1272,Mobile,36851116,1566509,Français,48.853423534,2.3591792373
PW0147,2019-09-13T18:10:00+02:00,2019-09-13T18:39:00+02:00,1731,Mobile,34664017,9597312,Français,48.8754298708,2.353666773
PW0053,2019-09-13T18:13:00+02:00,2019-09-13T18:58:00+02:00,2742,Mobile,34119966,5353506,Français,48.8312312482,2.3116623321
PW0165-1,2019-09-13T18:14:00+02:00,2019-09-13T18:24:00+02:00,612,Mobile,6403200,1299348,Espagnol,48.8546101225,2.3001906307
PW0149,2019-09-13T18:16:00+02:00,2019-09-13T18:28:00+02:00,696,Mobile,3032682,1449463,Espagnol,48.8593733254,2.3358223561
PW0122-3,2019-09-13T18:21:00+02:00,2019-09-13T20:22:00+02:00,7241,Mobile,170980267,19780690,Français,48.8560260905,2.3526857859
PW0009,2019-09-13T18:23:00+02:00,2019-09-13T20:24:00+02:00,7252,Ordinateur,315929402,15392446,Anglais,48.8901061541,2.3632099736
PW0050,2019-09-13T18:26:00+02:00,2019-09-13T18:44:00+02:00,1089,Ordinateur,17096293,1209166,Français,48.853423534,2.3591792373
PW0002,2019-09-13T18:29:00+02:00,2019-09-13T20:29:00+02:00,7206,Ordinateur,116676409,6636160,Français,48.8867669709,2.3714730505
PW0165-1,2019-09-13T18:33:00+02:00,2019-09-13T18:40:00+02:00,432,Mobile,4662582,20639877,Anglais,48.8546101225,2.3001906307
PW0176,2019-09-13T18:38:00+02:00,2019-09-13T18:50:00+02:00,706,Mobile,1768190,338719,Français,48.8765956695,2.3317982752
PW0049,2019-09-13T18:38:00+02:00,2019-09-13T19:03:00+02:00,1484,Mobile,55048480,5180261,Français,48.8515955528,2.383960071
PW0016,2019-09-13T18:40:00+02:00,2019-09-13T18:48:00+02:00,477,Ordinateur,2800969,416081,Français,48.8844937686,2.3218343603
PW0147,2019-09-13T18:42:00+02:00,2019-09-13T20:33:00+02:00,6635,Ordinateur,118701419,8628022,Français,48.8754298708,2.353666773
PW0161,2019-09-13T18:46:00+02:00,2019-09-13T18:48:00+02:00,99,Mobile,2865322,402359,Espagnol,48.8581897423,2.312894264
PW0117,2019-09-13T18:54:00+02:00,2019-09-13T19:51:00+02:00,3420,Mobile,170935850,8901065,Français,48.8497413105,2.2861367437
PW0044,2019-09-13T19:08:00+02:00,2019-09-13T19:14:00+02:00,308,Mobile,15018017,1002660,Français,48.8637689236,2.3598462566
PW0123,2019-09-13T19:08:00+02:00,2019-09-13T19:26:00+02:00,1079,Mobile,9961881,81291170,Russe,48.8563193139,2.3517550767
PW0120,2019-09-13T19:09:00+02:00,2019-09-13T20:14:00+02:00,3848,Ordinateur,21319973,4368157,Anglais,48.8524066125,2.3716454351
PW0009,2019-09-13T19:11:00+02:00,2019-09-13T20:22:00+02:00,4224,Mobile,13752468,1928984,Anglais,48.8901061541,2.3632099736
PW0045,2019-09-13T19:23:00+02:00,2019-09-13T19:57:00+02:00,1992,Mobile,99171314,5118441,Français,48.8598387687,2.4032269985
PW0178,2019-09-13T19:25:00+02:00,2019-09-13T19:55:00+02:00,1776,Mobile,100538238,8261939,Français,48.8338461546,2.3627918953
PW0182,2019-09-13T19:26:00+02:00,2019-09-13T19:58:00+02:00,1956,Mobile,68284429,51639907,Français,48.8827940633,2.3827054256
PW0104,2019-09-13T19:27:00+02:00,2019-09-13T19:28:00+02:00,85,Mobile,7398582,553101,Portugais,48.8883943592,2.3030897057
PW0147,2019-09-13T19:28:00+02:00,2019-09-13T19:30:00+02:00,86,Mobile,73943,83089,Anglais,48.8754298708,2.353666773
PW0112,2019-09-13T19:30:00+02:00,2019-09-13T20:10:00+02:00,2370,Ordinateur,6998968,2038955,Français,48.8614889106,2.3441541095
PW0055,2019-09-13T19:31:00+02:00,2019-09-13T19:35:00+02:00,209,Mobile,18961707,1526192,Français,48.8523121522,2.4105606442
PW0157,2019-09-13T19:40:00+02:00,2019-09-13T20:01:00+02:00,1300,Mobile,9798870,1264742,Français,48.8281858231,2.3586267374
PW0190,2019-09-13T19:41:00+02:00,2019-09-13T19:58:00+02:00,991,Mobile,11519226,11603112,Anglais,48.8611484589,2.325065434
PW0045,2019-09-13T19:41:00+02:00,2019-09-13T20:57:00+02:00,4512,Mobile,49095143,6400486,Français,48.8598387687,2.4032269985
PW0065,2019-09-13T19:42:00+02:00,2019-09-13T20:11:00+02:00,1745,Ordinateur,22717387,2690022,Français,48.832851161,2.3267672261
PW0146,2019-09-13T19:42:00+02:00,2019-09-13T20:07:00+02:00,1486,Ordinateur,46375535,4262206,Français,48.8512426095,2.330443623
PW0126,2019-09-13T19:45:00+02:00,2019-09-13T20:32:00+02:00,2844,Mobile,73325820,4259886,Anglais,48.8424935285,2.3496737607
PW0009,2019-09-13T19:47:00+02:00,2019-09-13T20:21:00+02:00,2002,Mobile,70087237,4776450,Anglais,48.8901061541,2.3632099736
PW0110,2019-09-13T20:00:00+02:00,2019-09-13T22:01:00+02:00,7252,Mobile,71142685,12730234,Français,48.8614694222,2.346303724
PW0117,2019-09-13T20:01:00+02:00,2019-09-13T20:13:00+02:00,748,Ordinateur,19570382,2041148,Français,48.8497413105,2.2861367437
PW0153,2019-09-13T20:12:00+02:00,2019-09-13T20:25:00+02:00,782,Mobile,39101085,2656868,Français,48.8580407243,2.3492201015
PW0100,2019-09-13T20:12:00+02:00,2019-09-13T20:23:00+02:00,612,Mobile,12091656,1813407,Français,48.8946479903,2.3188172423
PW0109,2019-09-13T20:17:00+02:00,2019-09-13T20:23:00+02:00,345,Ordinateur,23291276,1338537,Français,48.8811113359,2.3323455598
PW0048,2019-09-13T20:17:00+02:00,2019-09-13T20:26:00+02:00,499,Ordinateur,61687949,3031155,Français,48.870162555,2.3852198261
PW0068,2019-09-13T20:22:00+02:00,2019-09-13T20:37:00+02:00,924,Mobile,19946666,1524080,Anglais,48.8591243675,2.3841876331
PW0182,2019-09-13T20:24:00+02:00,2019-09-13T21:15:00+02:00,3046,Mobile,53706303,20324169,Français,48.8827940633,2.3827054256
PW0123,2019-09-13T20:25:00+02:00,2019-09-13T20:55:00+02:00,1755,Mobile,160078275,65496519,Chinois simplifié,48.8563193139,2.3517550767
PW0182,2019-09-13T20:28:00+02:00,2019-09-13T21:45:00+02:00,4603,Mobile,60093813,58165027,Allemand,48.8827940633,2.3827054256
PW0068,2019-09-13T20:32:00+02:00,2019-09-13T21:11:00+02:00,2311,Mobile,93513017,6988695,Espagnol,48.8591243675,2.3841876331
PW0149,2019-09-13T20:33:00+02:00,2019-09-13T20:36:00+02:00,193,Mobile,10988708,857794,Anglais,48.8593733254,2.3358223561
PW0163,2019-09-13T20:33:00+02:00,2019-09-13T20:53:00+02:00,1208,Mobile,30612612,5778168,Français,48.8556307839,2.3656584031
PW0153,2019-09-13T20:41:00+02:00,2019-09-13T21:12:00+02:00,1856,Mobile,41114430,4477237,Français,48.8580407243,2.3492201015
PW0061,2019-09-13T20:46:00+02:00,2019-09-13T20:49:00+02:00,175,Mobile,13947037,966911,Anglais,48.8720261058,2.3998162932
PW0122-5,2019-09-13T20:48:00+02:00,2019-09-13T21:04:00+02:00,966,Mobile,39557091,1661695,Anglais,48.8568665354,2.3531718233
PW0165-1,2019-09-13T20:48:00+02:00,2019-09-13T20:50:00+02:00,123,Mobile,6515765,5890175,Portugais,48.8546101225,2.3001906307
PW0122-1,2019-09-13T20:55:00+02:00,2019-09-13T21:33:00+02:00,2291,Mobile,55078179,3737499,Français,48.856389683,2.352388267
PW0135,2019-09-13T21:00:00+02:00,2019-09-13T21:09:00+02:00,570,Mobile,8869345,1866869,Espagnol,48.8459667166,2.3777161396
PW0123,2019-09-13T21:06:00+02:00,2019-09-13T21:33:00+02:00,1655,Mobile,6624587,1906040,Espagnol,48.8563193139,2.3517550767
PW0175,2019-09-13T21:08:00+02:00,2019-09-13T21:12:00+02:00,263,Mobile,6848713,1023186,Anglais,48.8609372147,2.2893499444
PW0110,2019-09-13T21:10:00+02:00,2019-09-13T21:23:00+02:00,781,Mobile,32719339,15914608,Anglais,48.8614694222,2.346303724
PW0122,2019-09-13T21:13:00+02:00,2019-09-13T21:28:00+02:00,917,Mobile,22106093,2976485,Français,48.8567634421,2.352648313
PW0172,2019-09-13T21:20:00+02:00,2019-09-13T22:23:00+02:00,3740,Mobile,219070375,9533152,Français,48.8346490481,2.3422225428
PW0080,2019-09-13T21:22:00+02:00,2019-09-13T22:05:00+02:00,2552,Mobile,109017834,173139699,Français,48.8566034181,2.3938687724
PW0157,2019-09-13T21:41:00+02:00,2019-09-13T21:54:00+02:00,745,Mobile,9041314,1260891,Français,48.8281858231,2.3586267374
PW0149,2019-09-13T22:27:00+02:00,2019-09-13T22:31:00+02:00,200,Mobile,714927,179501,Espagnol,48.8593733254,2.3358223561
PW0190,2019-09-13T22:39:00+02:00,2019-09-13T22:39:00+02:00,29,Mobile,3642819,195867,Français,48.8611484589,2.325065434
PW0189,2019-09-13T22:41:00+02:00,2019-09-13T22:42:00+02:00,71,Mobile,5494776,243814,Russe,48.8629641751,2.3045246819
PW0189,2019-09-13T22:55:00+02:00,2019-09-13T23:05:00+02:00,647,Mobile,5012846,40248636,Russe,48.8629641751,2.3045246819
PW0165-1,2019-09-13T23:04:00+02:00,2019-09-13T23:09:00+02:00,262,Mobile,5049881,672912,Russe,48.8546101225,2.3001906307
PW0177,2019-09-13T23:08:00+02:00,2019-09-13T23:30:00+02:00,1274,Mobile,31019792,1378676,Français,48.8570974891,2.3704796611
PW0199,2019-09-13T23:32:00+02:00,2019-09-14T01:18:00+02:00,6333,Mobile,83792220,4956624,Français,48.8342318805,2.3321285183
PW0175,2019-09-14T00:03:00+02:00,2019-09-14T00:13:00+02:00,566,Mobile,11281231,1139510,Espagnol,48.8609372147,2.2893499444
PW0123-1,2019-09-14T00:12:00+02:00,2019-09-14T00:13:00+02:00,66,Mobile,1787831,357052,Espagnol,48.8570518501,2.3523517242
PW0092,2019-09-14T00:46:00+02:00,2019-09-14T02:00:00+02:00,4455,Mobile,91393630,7401215,Français,48.8895947972,2.3630676012
PW0055,2019-09-14T00:46:00+02:00,2019-09-14T01:01:00+02:00,858,Mobile,6928567,513739,Français,48.8523121522,2.4105606442
PW0165-1,2019-09-14T01:23:00+02:00,2019-09-14T01:26:00+02:00,215,Mobile,3703898,309493,Anglais,48.8546101225,2.3001906307
PW0175,2019-09-14T10:59:00+02:00,2019-09-14T11:06:00+02:00,458,Mobile,3931692,7883690,Anglais,48.8609372147,2.2893499444
PW0014,2019-09-14T11:17:00+02:00,2019-09-14T12:06:00+02:00,2930,Mobile,70400728,2803692,Français,48.8415157494,2.2998843876
PW0175,2019-09-14T11:30:00+02:00,2019-09-14T11:34:00+02:00,274,Mobile,49227,83287,Allemand,48.8609372147,2.2893499444
PW0081,2019-09-14T11:47:00+02:00,2019-09-14T12:10:00+02:00,1360,Mobile,3267110,930393,Français,48.8779068008,2.3954212669
PW0069,2019-09-14T11:51:00+02:00,2019-09-14T12:09:00+02:00,1068,Mobile,6556957,329673,Français,48.8322068,2.3474197664
PW0044,2019-09-14T11:53:00+02:00,2019-09-14T13:53:00+02:00,7212,Mobile,2355772,388336,Français,48.8637689236,2.3598462566
PW0199,2019-09-14T11:54:00+02:00,2019-09-14T12:21:00+02:00,1610,Mobile,37367380,3590222,Anglais,48.8342318805,2.3321285183
PW0157,2019-09-14T12:00:00+02:00,2019-09-14T12:23:00+02:00,1369,Mobile,23781076,3130576,Français,48.8281858231,2.3586267374
PW0199,2019-09-14T12:02:00+02:00,2019-09-14T12:12:00+02:00,617,Mobile,5942057,328044,Espagnol,48.8342318805,2.3321285183
PW0002,2019-09-14T12:03:00+02:00,2019-09-14T14:04:00+02:00,7259,Tablette,24754415,5200327,Français,48.8867669709,2.3714730505
PW0103,2019-09-14T12:04:00+02:00,2019-09-14T12:05:00+02:00,61,Mobile,804173,93129,Russe,48.8202371888,2.3681251513
PW0199,2019-09-14T12:06:00+02:00,2019-09-14T12:11:00+02:00,355,Mobile,11632113,1673180,Anglais,48.8342318805,2.3321285183
PW0122-3,2019-09-14T12:19:00+02:00,2019-09-14T13:54:00+02:00,5703,Ordinateur,73488485,11565471,Français,48.8560260905,2.3526857859
PW0201,2019-09-14T12:22:00+02:00,2019-09-14T12:27:00+02:00,257,Mobile,18393028,1793739,Anglais,48.8339906348,2.33201446
PW0153,2019-09-14T12:23:00+02:00,2019-09-14T14:16:00+02:00,6771,Mobile,311415714,87277505,Français,48.8580407243,2.3492201015
PW0165,2019-09-14T12:24:00+02:00,2019-09-14T12:28:00+02:00,250,Mobile,4569597,688939,Portugais,48.8569794103,2.2933390635
PW0167,2019-09-14T12:24:00+02:00,2019-09-14T12:37:00+02:00,815,Mobile,54647769,18306778,Anglais,48.8852754048,2.3763541911
PW0052,2019-09-14T12:27:00+02:00,2019-09-14T13:38:00+02:00,4278,Ordinateur,230055042,4726420,Français,48.860096294,2.3790349615
PW0006,2019-09-14T12:27:00+02:00,2019-09-14T14:28:00+02:00,7249,Ordinateur,19541448,2430964,Français,48.8844631298,2.3541416014
PW0123,2019-09-14T12:29:00+02:00,2019-09-14T12:45:00+02:00,950,Mobile,11041784,29602814,Russe,48.8563193139,2.3517550767
PW0123,2019-09-14T12:31:00+02:00,2019-09-14T12:45:00+02:00,832,Mobile,4935977,737481,Russe,48.8563193139,2.3517550767
PW0202,2019-09-14T12:38:00+02:00,2019-09-14T12:54:00+02:00,966,Ordinateur,15233726,3996169,Français,48.8553935976,2.2807177166
PW0051,2019-09-14T12:41:00+02:00,2019-09-14T14:42:00+02:00,7258,Ordinateur,95930796,8087907,Français,48.8425411215,2.3974768897
PW0092,2019-09-14T12:42:00+02:00,2019-09-14T14:43:00+02:00,7241,Mobile,11546508,1241423,Français,48.8895947972,2.3630676012
PW0165,2019-09-14T12:52:00+02:00,2019-09-14T12:58:00+02:00,315,Mobile,15899235,534567,Français,48.8569794103,2.2933390635
PW0143,2019-09-14T12:52:00+02:00,2019-09-14T14:52:00+02:00,7222,Ordinateur,94835151,9906282,Français,48.8618194855,2.3476439033
PW0056,2019-09-14T13:07:00+02:00,2019-09-14T13:38:00+02:00,1844,Mobile,12429985,4666888,Français,48.8698926807,2.3751172843
PW0003,2019-09-14T13:08:00+02:00,2019-09-14T14:08:00+02:00,3614,Ordinateur,137842684,16814901,Français,48.889783335,2.3196433734
PW0045,2019-09-14T13:08:00+02:00,2019-09-14T15:08:00+02:00,7206,Mobile,61682361,15009517,Français,48.8598387687,2.4032269985
PW0170,2019-09-14T13:09:00+02:00,2019-09-14T13:48:00+02:00,2352,Mobile,62664627,6177837,Arabe,48.8864505694,2.3654757972
PW0165-1,2019-09-14T13:10:00+02:00,2019-09-14T13:34:00+02:00,1439,Mobile,25010326,10913156,Anglais,48.8546101225,2.3001906307
PW0116,2019-09-14T13:11:00+02:00,2019-09-14T13:16:00+02:00,303,Mobile,9604235,6259083,Français,48.8772054342,2.3707969197
PW0115,2019-09-14T13:15:00+02:00,2019-09-14T13:28:00+02:00,800,Mobile,7883565,1225565,Français,48.8393069888,2.3387816735
PW0170,2019-09-14T13:19:00+02:00,2019-09-14T13:39:00+02:00,1200,Mobile,53772877,3836619,Anglais,48.8864505694,2.3654757972
PW0061,2019-09-14T13:23:00+02:00,2019-09-14T14:29:00+02:00,3950,Ordinateur,32119862,9675732,Français,48.8720261058,2.3998162932
PW0045,2019-09-14T13:24:00+02:00,2019-09-14T14:50:00+02:00,5177,Mobile,75846070,3324092,Français,48.8598387687,2.4032269985
PW0147,2019-09-14T13:28:00+02:00,2019-09-14T13:31:00+02:00,230,Mobile,9478146,862811,Français,48.8754298708,2.353666773
PW0153,2019-09-14T13:28:00+02:00,2019-09-14T13:42:00+02:00,825,Mobile,5658564,846971,Anglais,48.8580407243,2.3492201015
PW0122-5,2019-09-14T13:31:00+02:00,2019-09-14T15:01:00+02:00,5440,Ordinateur,5195350,1937560,Français,48.8568665354,2.3531718233
PW0062,2019-09-14T13:31:00+02:00,2019-09-14T14:32:00+02:00,3611,Mobile,134617284,8746447,Français,48.827750994,2.3595956139
PW0119,2019-09-14T13:37:00+02:00,2019-09-14T13:38:00+02:00,39,Mobile,4503449,234501,Français,48.8572732825,2.3512776121
PW0051,2019-09-14T13:40:00+02:00,2019-09-14T15:40:00+02:00,7248,Ordinateur,348401085,10475807,Français,48.8425411215,2.3974768897
PW0201,2019-09-14T13:51:00+02:00,2019-09-14T14:10:00+02:00,1110,Mobile,7559312,583146,Anglais,48.8339906348,2.33201446
PW0132-2,2019-09-14T13:53:00+02:00,2019-09-14T13:57:00+02:00,223,Mobile,19191733,1728576,Français,48.8561383736,2.3559375242
PW0147,2019-09-14T14:05:00+02:00,2019-09-14T14:07:00+02:00,147,Mobile,1409678,273504,Français,48.8754298708,2.353666773
PW0163,2019-09-14T14:08:00+02:00,2019-09-14T14:21:00+02:00,748,Mobile,48818360,2106708,Français,48.8556307839,2.3656584031
PW0070,2019-09-14T14:09:00+02:00,2019-09-14T15:58:00+02:00,6517,Mobile,821324745,31121778,Anglais,48.8562219571,2.3673918201
PW0058-1,2019-09-14T14:10:00+02:00,2019-09-14T14:14:00+02:00,225,Mobile,3065438,8732606,Chinois simplifié,48.8350786407,2.3845322262
PW0113,2019-09-14T14:24:00+02:00,2019-09-14T16:25:00+02:00,7255,Ordinateur,94154369,8784701,Français,48.8618363826,2.2842707912
PW0147,2019-09-14T14:24:00+02:00,2019-09-14T14:31:00+02:00,381,Mobile,2404545,188074,Allemand,48.8754298708,2.353666773
PW0142,2019-09-14T14:26:00+02:00,2019-09-14T14:39:00+02:00,753,Ordinateur,7926907,3745004,Français,48.8779672649,2.3450215123
PW0119,2019-09-14T14:27:00+02:00,2019-09-14T15:32:00+02:00,3908,Mobile,309905358,116089666,Espagnol,48.8572732825,2.3512776121
PW0153,2019-09-14T14:30:00+02:00,2019-09-14T15:03:00+02:00,1961,Mobile,13989406,2782722,Anglais,48.8580407243,2.3492201015
PW0062,2019-09-14T14:38:00+02:00,2019-09-14T15:35:00+02:00,3403,Mobile,173960463,7400989,Français,48.827750994,2.3595956139
PW0164,2019-09-14T14:42:00+02:00,2019-09-14T14:46:00+02:00,276,Mobile,11192042,10614371,Français,48.8744988283,2.3619049385
PW0007,2019-09-14T14:43:00+02:00,2019-09-14T15:00:00+02:00,1016,Mobile,6190082,795873,Chinois simplifié,48.894964593,2.3639007135
PW0072,2019-09-14T14:46:00+02:00,2019-09-14T15:24:00+02:00,2234,Ordinateur,3086658,942534,Français,48.8719533728,2.3923025004
PW0045,2019-09-14T14:49:00+02:00,2019-09-14T14:58:00+02:00,519,Ordinateur,24389454,922693,Français,48.8598387687,2.4032269985
PW0122-5,2019-09-14T14:53:00+02:00,2019-09-14T14:56:00+02:00,186,Mobile,2239730,1674552,Français,48.8568665354,2.3531718233
PW0134,2019-09-14T14:56:00+02:00,2019-09-14T16:57:00+02:00,7213,Mobile,333041271,23572356,Français,48.8665075801,2.3404344915
PW0002,2019-09-14T15:07:00+02:00,2019-09-14T15:11:00+02:00,244,Mobile,1152482,70417,Français,48.8867669709,2.3714730505
PW0009,2019-09-14T15:18:00+02:00,2019-09-14T16:42:00+02:00,5010,Mobile,10266661,1845318,Français,48.8901061541,2.3632099736
PW0110,2019-09-14T15:19:00+02:00,2019-09-14T15:54:00+02:00,2140,Mobile,145510255,53054141,Français,48.8614694222,2.346303724
PW0119,2019-09-14T15:27:00+02:00,2019-09-14T15:32:00+02:00,341,Mobile,6506055,7508555,Russe,48.8572732825,2.3512776121
PW0045,2019-09-14T15:29:00+02:00,2019-09-14T16:18:00+02:00,2955,Mobile,40896170,5215029,Français,48.8598387687,2.4032269985
PW0193,2019-09-14T15:29:00+02:00,2019-09-14T15:33:00+02:00,258,Mobile,17617103,1500963,Russe,48.8574278537,2.3470199245
PW0201,2019-09-14T15:32:00+02:00,2019-09-14T15:36:00+02:00,194,Mobile,27183521,2312937,Français,48.8339906348,2.33201446
PW0193,2019-09-14T15:33:00+02:00,2019-09-14T15:46:00+02:00,779,Mobile,10143904,1715213,Portugais,48.8574278537,2.3470199245
PW0199,2019-09-14T15:35:00+02:00,2019-09-14T15:40:00+02:00,321,Mobile,30085147,2657480,Anglais,48.8342318805,2.3321285183
PW0054,2019-09-14T15:38:00+02:00,2019-09-14T16:07:00+02:00,1755,Ordinateur,83799524,10291251,Français,48.8337666097,2.3258559779
PW0137,2019-09-14T15:42:00+02:00,2019-09-14T17:03:00+02:00,4822,Mobile,48989334,7411440,Français,48.8417075067,2.299350322
PW0149,2019-09-14T15:46:00+02:00,2019-09-14T16:13:00+02:00,1601,Mobile,9594804,1297177,Anglais,48.8593733254,2.3358223561
PW0199,2019-09-14T15:47:00+02:00,2019-09-14T16:08:00+02:00,1280,Mobile,92437822,4614765,Anglais,48.8342318805,2.3321285183
PW0020,2019-09-14T15:50:00+02:00,2019-09-14T16:40:00+02:00,2990,Mobile,95760308,6215543,Français,48.862650133,2.345916105
PW0009,2019-09-14T15:54:00+02:00,2019-09-14T15:55:00+02:00,104,Mobile,13596225,1837931,Français,48.8901061541,2.3632099736
